"ID","Species_Eng","CommonName","Classification","Classification2"
8679,"Setaria italica","foxtail millet","crop (millet)","Millets + Rice"
8672,"Oryza sativa","rice","crop (rice)","Millets + Rice"
21389,"Oryza sativa","rice","crop (rice)","Millets + Rice"
14796,"Oryza sativa","rice","crop (rice)","Millets + Rice"
21390,"Oryza sativa","rice","crop (rice)","Millets + Rice"
14797,"Oryza sativa","rice","crop (rice)","Millets + Rice"
60385,"Oryza sativa","rice","crop (rice)","Millets + Rice"
14857,"Oryza sativa","rice","crop (rice)","Millets + Rice"
14841,"Oryza sativa","rice","crop (rice)","Millets + Rice"
60384,"Oryza sativa","rice","crop (rice)","Millets + Rice"
47536,"Oryza sativa","rice","crop (rice)","Millets + Rice"
10094,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10095,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
36476,"Oryza sativa","rice","crop (rice)","Millets + Rice"
36477,"Oryza sativa","rice","crop (rice)","Millets + Rice"
19786,"Quercus sp.","oaks","acorn","Wild Nuts"
23296,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
18497,"Oryza sativa","rice","crop (rice)","Millets + Rice"
23299,"Quercus sp.","oaks","acorn","Wild Nuts"
23297,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
23294,"Quercus myrsinifolia","bamboo-leaf oak","acorn","Wild Nuts"
23295,"Quercus myrsinifolia","bamboo-leaf oak","acorn","Wild Nuts"
18491,"Corylus heterophylla","Asian hazel","hazelnut","Wild Nuts"
18492,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
23307,"Oryza sativa","rice","crop (rice)","Millets + Rice"
18489,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
18490,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
56123,"Oryza sativa","rice","crop (rice)","Millets + Rice"
8794,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
8797,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
56884,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
16622,"Oryza sativa","rice","crop (rice)","Millets + Rice"
60517,"Oryza sativa","rice","crop (rice)","Millets + Rice"
60519,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
61066,"Oryza sativa","rice","crop (rice)","Millets + Rice"
61070,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
26340,"Oryza sativa","rice","crop (rice)","Millets + Rice"
26351,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
26359,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
26358,"Quercus sp.","oaks","acorn","Wild Nuts"
26357,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
26360,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
26352,"Fagus crenata","Japanese beech","beechnut","Wild Nuts"
26346,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
26354,"Quercus acutissima","sawtooth oak","acorn","Wild Nuts"
26353,"Fagus crenata","Japanese beech","beechnut","Wild Nuts"
26367,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
26355,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
26356,"Quercus crispula","mizunara oak","acorn","Wild Nuts"
26343,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
26345,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
26344,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
26347,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
54467,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5586,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
12086,"Fagus crenata","Japanese beech","beechnut","Wild Nuts"
12103,"Panicum miliaceum","proso millet","crop (millet)","Millets + Rice"
12088,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
12087,"Quercus sp.","oaks","acorn","Wild Nuts"
12089,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
12085,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
12080,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
12084,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
12081,"Corylus sieboldiana","Japanese hazel","hazelnut","Wild Nuts"
7,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
8,"Quercus dentata","daimyo oak","acorn","Wild Nuts"
10,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
9,"Quercus crispula","mizunara oak","acorn","Wild Nuts"
5414,"Quercus sect. Quercus","white oaks","acorn","Wild Nuts"
12450,"Quercus cf. acutissima","sawtooth oak","acorn","Wild Nuts"
12452,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
12451,"Quercuscf.  crispula","mizunara oak","acorn","Wild Nuts"
12454,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
12459,"Quercus sp.","oaks","acorn","Wild Nuts"
12449,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
58096,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
58097,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
58093,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
54119,"Quercus sp.","oaks","acorn","Wild Nuts"
51863,"Quercus acutissima / Q. variabilis","sawtooth, cork oak","acorn","Wild Nuts"
10856,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
59325,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
59326,"Quercus sp.","oaks","acorn","Wild Nuts"
59323,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
26668,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
26669,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
26659,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51150,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
51149,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
51147,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
51148,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
51165,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
51142,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
51113,"Quercus sp.","oaks","acorn","Wild Nuts"
51146,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
50287,"Oryza sativa","rice","crop (rice)","Millets + Rice"
50281,"Quercus sp.","oaks","acorn","Wild Nuts"
7690,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
7689,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
7684,"Quercus sect. Quercus","white oaks","acorn","Wild Nuts"
7682,"Quercus sect. Quercus","white oaks","acorn","Wild Nuts"
7688,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
7681,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
7683,"Quercus sect. Quercus","white oaks","acorn","Wild Nuts"
55346,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
55349,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
55345,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
55351,"Quercus sp.","oaks","acorn","Wild Nuts"
55352,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
55347,"Quercus sessilifolia","tsukubanegashi oak","acorn","Wild Nuts"
55348,"Quercus sessilifolia / Quercus acuta","tsukubanegashi, evergreen oak","acorn","Wild Nuts"
55344,"Quercus variabilis","Asian cork oak","acorn","Wild Nuts"
55350,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
55357,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
55343,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
60430,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
60429,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
60431,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
56762,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
56763,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
56764,"Quercus sp.","oaks","acorn","Wild Nuts"
56776,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
45021,"Quercus acutissima / Q. variabilis","sawtooth, cork oak","acorn","Wild Nuts"
45023,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
45022,"Quercus sp.","oaks","acorn","Wild Nuts"
45024,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
45026,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
45019,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
45020,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
805,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
5965,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
5966,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5964,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
39486,"Quercus sp.","oaks","acorn","Wild Nuts"
39485,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
39487,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
39488,"Quercus gilva?","red-bark oak?","acorn","Wild Nuts"
56851,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
41732,"Castanea cf. crenata","Japanese chestnut","chestnut","Wild Nuts"
41731,"Quercus section Cerris [acutissima]","sawtooth oak","acorn","Wild Nuts"
37763,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
37760,"Quercus cf. variabilis","Asian cork oak","acorn","Wild Nuts"
37762,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
37759,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
37766,"Quercus sp.","oaks","acorn","Wild Nuts"
37761,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
37764,"Quercus myrsinifolia","bamboo-leaf oak","acorn","Wild Nuts"
37765,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
53551,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
53596,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
53579,"Oryza sativa","rice","crop (rice)","Millets + Rice"
53599,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
53553,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
53597,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
53552,"Quercus sp.","oaks","acorn","Wild Nuts"
53554,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
53601,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
53600,"Quercus sp.","oaks","acorn","Wild Nuts"
53613,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
53598,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
53572,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
53550,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
53595,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
60468,"Quercus cf. gilva","red-bark oak","acorn","Wild Nuts"
7302,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
7298,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
7299,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
7300,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
7301,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
62504,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
44801,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
44802,"Quercus sp.","oaks","acorn","Wild Nuts"
44799,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
44800,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
32845,"Oryza sativa","rice","crop (rice)","Millets + Rice"
32846,"Oryza sativa","rice","crop (rice)","Millets + Rice"
32834,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
32838,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
32833,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10152,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
10122,"Quercus section Cerris [acutissima]","sawtooth oak","acorn","Wild Nuts"
10121,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
10123,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
10159,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
10153,"Quercus sp.","oaks","acorn","Wild Nuts"
10119,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10151,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10177,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10191,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10120,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
10178,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
10192,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
10114,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
10124,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
10180,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
10193,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
10115,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
10125,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
10179,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
10194,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
228,"Juglans sp.","walnut","walnut","Wild Nuts"
407,"Quercus sp.","oaks","acorn","Wild Nuts"
409,"Juglans sp.","walnut","walnut","Wild Nuts"
405,"Castanea sp.","chestnut","chestnut","Wild Nuts"
5515,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5517,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5505,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
5506,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
5516,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5519,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5518,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
5526,"Oryza sativa","rice","crop (rice)","Millets + Rice"
59939,"Quercus sp.","oaks","acorn","Wild Nuts"
59940,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
60873,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
60874,"Quercus sp.","oaks","acorn","Wild Nuts"
60875,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
54639,"Oryza sativa","rice","crop (rice)","Millets + Rice"
54637,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
56033,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
56032,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
56035,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
56031,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
12079,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
12709,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
39484,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
56482,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
56484,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
56481,"Quercus myrsinifolia","bamboo-leaf oak","acorn","Wild Nuts"
56483,"Lithocarpus glaber","Japanese blue oak","acorn","Wild Nuts"
48221,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
48222,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
48218,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
48219,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
48226,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
38519,"Quercus sp.","oaks","acorn","Wild Nuts"
38520,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
60172,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
60183,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
60184,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
60173,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
60185,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
59445,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
60816,"Quercus acuta","Japanese evergreen","acorn","Wild Nuts"
60815,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
60818,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
60821,"Quercus sp.","oaks","acorn","Wild Nuts"
60825,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
60831,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
60817,"Castanopsis sp.","chinquapin","beechnut","Wild Nuts"
60819,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
60822,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
60719,"Oryza sativa","rice","crop (rice)","Millets + Rice"
47555,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
47563,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
47553,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
47552,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
47554,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
12326,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
12322,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
12324,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
12325,"Corylus sieboldiana","Japanese hazel","hazelnut","Wild Nuts"
32457,"Quercus sp.","oaks","acorn","Wild Nuts"
32450,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
32456,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
32452,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
32447,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
32448,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
32455,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
62400,"Fagaceae","beech and oaks family","acorn / beechnut","Wild Nuts"
7655,"Juglans sp.","walnut","walnut","Wild Nuts"
43509,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
43508,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
43513,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
43506,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
38293,"Quercus acutissima / Q. variabilis","sawtooth, cork oak","acorn","Wild Nuts"
59275,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
25327,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
54864,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
54865,"Quercus sp.","oaks","acorn","Wild Nuts"
54867,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
1085,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
11475,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
11476,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
61076,"Oryza sativa","rice","crop (rice)","Millets + Rice"
61099,"Castanopsis sp.?","chinquapin?","beechnut","Wild Nuts"
44277,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
44276,"Juglans sp.","walnut","walnut","Wild Nuts"
44156,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
44155,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
44157,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
44159,"Quercus sp.","oaks","acorn","Wild Nuts"
44154,"Quercus myrsinifolia","bamboo-leaf oak","acorn","Wild Nuts"
44158,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
44149,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
39761,"Quercus sp.","oaks","acorn","Wild Nuts"
39759,"Quercus acutissima","sawtooth oak","acorn","Wild Nuts"
39760,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
39765,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
39768,"Quercus sp.","oaks","acorn","Wild Nuts"
39766,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
39764,"Quercus acutissima","sawtooth oak","acorn","Wild Nuts"
39769,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
39767,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
39781,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
39762,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
39763,"Juglans mandshurica var. cordiformis /","manchurian walnut","walnut","Wild Nuts"
59928,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
59929,"Quercus sp.","oaks","acorn","Wild Nuts"
28649,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
28647,"Quercus aliena?","oriental white oak?","acorn","Wild Nuts"
28650,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
13723,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
13725,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
13732,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
13729,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
13728,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
13726,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
13733,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
13724,"Quercus serrata","jolcham oak","acorn","Wild Nuts"
13727,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
13734,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
13722,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
56852,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
56863,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
37780,"Quercus glauca","ring-cupped oak","acorn","Wild Nuts"
37781,"Lithocarpus edulis","common stone oak","acorn","Wild Nuts"
24189,"Quercus sp.","oaks","acorn","Wild Nuts"
24188,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
24191,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
24192,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
50233,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
50231,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
50232,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
50242,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
11479,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
50234,"Quercus sp.","oaks","acorn","Wild Nuts"
50229,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
11478,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
1190,"Quercus sp.","oaks","acorn","Wild Nuts"
1191,"Juglans sp.","walnut","walnut","Wild Nuts"
1197,"Juglans sp.","walnut","walnut","Wild Nuts"
854,"Fagaceae?","beech and oaks family?","acorn / beechnut","Wild Nuts"
859,"Setaria italica/Echinochloa esculenta","foxtail/barnyard milllet","crop (millet)","Millets + Rice"
853,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10198,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
870,"Quercus subgen. Quercus","white oaks","acorn","Wild Nuts"
869,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
28648,"Quercus sp.","oaks","acorn","Wild Nuts"
59931,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
59932,"Quercus sp.","oaks","acorn","Wild Nuts"
59930,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
28646,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
52800,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
52799,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
52797,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
52784,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
52783,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
52782,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
52781,"Quercus aliena","oriental white oak","acorn","Wild Nuts"
58594,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
58591,"Castanopsis cuspidata","Japanese chinquapin","beechnut","Wild Nuts"
62595,"Castanopsis sieboldii subsp. sieboldii","Itajii chinkapin","beechnut","Wild Nuts"
56445,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
36174,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
36178,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
36171,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
10219,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
10221,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
10220,"Corylus heterophylla","Asian hazel","hazelnut","Wild Nuts"
10218,"Juglans sp.","walnut","walnut","Wild Nuts"
10222,"Quercoideae (Quercus / Castanopsis / Lithocarpus / Cyclobalanopsis)","oak acorn","acorn / beechnut","Wild Nuts"
38484,"Quercus section Cerris [acutissima]","sawtooth oak","acorn","Wild Nuts"
38486,"Quercus sp.","oaks","acorn","Wild Nuts"
38493,"Quercus sp.","oaks","acorn","Wild Nuts"
25168,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
25173,"Aesculus turbinata","Japanese horse-chestnut","buckeye","Wild Nuts"
25169,"Quercus subgenus Cyclobalanopsis","ring-cupped oaks","acorn","Wild Nuts"
25167,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
924,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
62441,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
62440,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
62442,"Quercus sp.","oaks","acorn","Wild Nuts"
62435,"Quercus sp.","oaks","acorn","Wild Nuts"
62439,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
7187,"Castanea crenata","Japanese chestnut","chestnut","Wild Nuts"
7186,"Juglans mandshurica","manchurian walnut","walnut","Wild Nuts"
58657,"Quercus sp.","oaks","acorn","Wild Nuts"
53887,"Quercus sp.","oaks","acorn","Wild Nuts"
42565,"Quercus gilva","red-bark oak","acorn","Wild Nuts"
